OBJECTID,Source_ID,Source_Name,Citation,Weblink
1,144,"PISCES (Jan 8, 2014 download)","Katz, J, P Moyle, R Peek, N Santos, A Bell, RQuiñones, and J Viers.  PISCES database.  University of California, Davis.  Accessed at http://pisces.ucdavis.edu/ on January 8, 2014.",http://pisces.ucdavis.edu/node
3,64,NDOW Wildlife Action Plan 2012 revision,"Nevada Department of Wildlife.  2012.  Nevada Wildlife Action Plan.  Reno, NV. Accessed at http://www.ndow.org/uploadedFiles/ndoworg/Content/Nevada_Wildlife/Conservation/2013-NV-WAP-Cover-Page-TOC.pdf in 2014.",http://www.ndow.org/uploadedFiles/ndoworg/Content/Nevada_Wildlife/Conservation/2013-NV-WAP-Cover-Page-TOC.pdf
5,65,Calflora,"Calflora.  2008.  The Calflora Database. Berkeley, CA.  Accessed at http://www.calflora.org/ on  July 18, 2012.",http://www.calflora.org
9,67,"Fairy Shrimps of CA's Puddles, Pools, and Playas","Eriksen, C. and D. Belk.  1999.  Fairy Shrimps of California's Puddles, Pools, and Playas. Mad River Press, Eureka, CA.",n/a
23,51,BLM/USU National Aquatic Monitoring Center (aka The BugLab),"Western Center for Monitoring & Assessment of Freshwater Ecosystems. 2009. WMC and NAMC Joint Database.  Utah State University, Logan, UT.  Accessed at http://www.usu.edu/buglab/ in July, 2014.",http://www.usu.edu/buglab/
40,27,AZ Natural Heritage Program,"Arizona Dept. of Game and Fish.  2011.  Arizona Natural Heritage Program Heritage Data Management System. Pheonix, AZ. Accessed at http://www.azgfd.gov/w_c/edits/species_concern.shtml in 2014.",http://www.azgfd.gov/w_c/edits/species_concern.shtml
67,50,Oregon GAP Analysis Wildlife Models,"Oregon Biodiversity Information Center. 2004.  GAP Wildlife Models.  Portland State University, Portland, OR. Accessed at http://www.pdx.edu/pnwlamp/wildlife-models in 2012.",http://www.pdx.edu/pnwlamp/wildlife-models
73,61,Hovingh surveys,"Hovingh, P.  2012. Field surveys of Great Basin spring habitats.  Direct request to Peter Hovingh, Salt Lake City, UT.",n/a
74,56,SFEI San Francisco Bay Benthic Data,"San Francisco Estuary Institute.  2008.  SFEI San Francisco Bay Benthic Data (1992 - 2008). San Francisco, CA. Accessed at http://www.sfei.org in 2012.",http://www.sfei.org/
77,68,Subterranean Institute database,"Graening, G et al.  2012.  Unpublished data, database report.  The Subterranean Institute (http://www.subinstitute.org/), Citrus Heights, CA.",http://www.subinstitute.org/
