"COMID","AREA","Year","Month","Estimated.Q","P90_Q","P10_Q","Statistic"
2704731,8067.0798,1965,12,8439,13563,5661,"Mean"
2704731,8067.0798,1964,12,80668,91448,66127,"Mean"
2704731,8067.0798,1972,12,15605,23661,7432,"Mean"
2704731,8067.0798,1951,12,36133,43825,28984,"Mean"
2704731,8067.0798,1963,12,4838,8180,2836,"Mean"
2704731,8067.0798,1961,12,7760,9398,6389,"Mean"
2704731,8067.0798,1953,12,7062,8192,4438,"Mean"
2704731,8067.0798,1960,12,15068,18930,9900,"Mean"
2704731,8067.0798,1962,12,14985,20128,10542,"Mean"
2704731,8067.0798,1978,12,818,1385,258,"Mean"
2704731,8067.0798,1982,12,35866,50426,23947,"Mean"
2704731,8067.0798,1986,12,3788,7567,1160,"Mean"
2704731,8067.0798,1979,12,15089,21875,6945,"Mean"
2704731,8067.0798,1977,12,26824,41940,14321,"Mean"
2704731,8067.0798,1981,12,45298,62476,28560,"Mean"
2704731,8067.0798,1993,12,5237,10732,2047,"Mean"
2704731,8067.0798,1976,12,598,765,222,"Mean"
2704731,8067.0798,2009,12,4891,9515,1703,"Mean"
2704731,8067.0798,1983,12,47287,65843,28981,"Mean"
2704731,8067.0798,1971,12,10249,16418,4981,"Mean"
2704731,8067.0798,2011,12,1546,3260,490,"Mean"
2704731,8067.0798,1989,12,1623,3303,570,"Mean"
2704731,8067.0798,1995,12,24665,38960,10924,"Mean"
2704731,8067.0798,1991,12,1611,2910,656,"Mean"
2704731,8067.0798,2014,12,26145,40128,16010,"Mean"
2704731,8067.0798,1996,12,46516,63406,27019,"Mean"
2704731,8067.0798,1987,12,25056,35707,16573,"Mean"
2704731,8067.0798,1990,12,716,1251,202,"Mean"
2704731,8067.0798,1974,12,4939,8271,2129,"Mean"
2704731,8067.0798,1980,12,6784,12140,2517,"Mean"
2704731,8067.0798,2008,12,4979,8744,1949,"Mean"
2704731,8067.0798,1952,12,28054,39690,21037,"Mean"
2704731,8067.0798,2000,12,1712,3133,814,"Mean"
2704731,8067.0798,2013,12,326,468,148,"Mean"
2704731,8067.0798,1998,12,9437,16016,3958,"Mean"
2704731,8067.0798,1957,12,20273,27488,14800,"Mean"
2704731,8067.0798,2006,12,12350,20109,5422,"Mean"
2704731,8067.0798,1985,12,8379,13339,4074,"Mean"
2704731,8067.0798,1970,12,36174,42055,26789,"Mean"
2704731,8067.0798,2004,12,12239,18932,5510,"Mean"
2704731,8067.0798,2005,12,46691,64656,28327,"Mean"
2704731,8067.0798,1992,12,22365,29344,14295,"Mean"
2704731,8067.0798,1997,12,9624,15811,4584,"Mean"
2704731,8067.0798,2012,12,37287,56319,22312,"Mean"
2704731,8067.0798,1999,12,4447,7702,2074,"Mean"
2704731,8067.0798,1969,12,23407,31147,17974,"Mean"
2704731,8067.0798,2001,12,33347,44593,21571,"Mean"
2704731,8067.0798,1950,12,24954,28831,18988,"Mean"
2704731,8067.0798,1959,12,514,821,316,"Mean"
2704731,8067.0798,2007,12,6308,10815,2494,"Mean"
2704731,8067.0798,2010,12,24639,34452,16181,"Mean"
2704731,8067.0798,1975,12,6971,11098,2820,"Mean"
2704731,8067.0798,1967,12,7520,10281,4903,"Mean"
2704731,8067.0798,1954,12,13235,20123,9892,"Mean"
2704731,8067.0798,1958,12,2017,3586,1100,"Mean"
2704731,8067.0798,2015,12,22436,36125,9681,"Mean"
2704731,8067.0798,1984,12,10812,19189,3958,"Mean"
2704731,8067.0798,1973,12,33760,46233,22842,"Mean"
2704731,8067.0798,1956,12,1334,2017,817,"Mean"
2704731,8067.0798,1994,12,8966,14879,4377,"Mean"
2704731,8067.0798,1988,12,10830,18929,2996,"Mean"
2704731,8067.0798,2002,12,46801,63787,25564,"Mean"
2704731,8067.0798,2003,12,26137,38190,17876,"Mean"
2704731,8067.0798,1966,12,19802,24529,15311,"Mean"
2704731,8067.0798,1955,12,57041,65149,44904,"Mean"
2704731,8067.0798,1968,12,29699,37516,21796,"Mean"
2704735,8062.4286,2013,12,329,475,149,"Mean"
2704735,8062.4286,1959,12,490,748,316,"Mean"
2704735,8062.4286,1968,12,29782,37495,22155,"Mean"
2704735,8062.4286,2012,12,37332,56287,22418,"Mean"
2704735,8062.4286,1950,12,24917,28634,19022,"Mean"
2704735,8062.4286,1971,12,10136,16003,4997,"Mean"
2704735,8062.4286,1974,12,4866,8116,2102,"Mean"
2704735,8062.4286,1955,12,57006,65052,45196,"Mean"
2704735,8062.4286,1975,12,6947,11093,2794,"Mean"
2704735,8062.4286,2009,12,4852,9472,1697,"Mean"
2704735,8062.4286,1973,12,33759,45424,22976,"Mean"
2704735,8062.4286,1958,12,1915,3206,1093,"Mean"
2704735,8062.4286,1952,12,28063,39724,21186,"Mean"
2704735,8062.4286,1983,12,47459,65911,29095,"Mean"
2704735,8062.4286,1977,12,26761,41688,14367,"Mean"
2704735,8062.4286,1972,12,15382,23350,7497,"Mean"
2704735,8062.4286,1982,12,35952,50472,24051,"Mean"
2704735,8062.4286,1979,12,15020,21519,7235,"Mean"
2704735,8062.4286,1970,12,36350,41893,27578,"Mean"
2704735,8062.4286,1978,12,777,1352,263,"Mean"
2704735,8062.4286,2006,12,12053,19628,5449,"Mean"
2704735,8062.4286,1961,12,7720,8992,6487,"Mean"
2704735,8062.4286,1980,12,6710,12072,2507,"Mean"
2704735,8062.4286,1960,12,14817,18346,9865,"Mean"
2704735,8062.4286,1976,12,562,752,226,"Mean"
2704735,8062.4286,2002,12,46862,64126,25549,"Mean"
2704735,8062.4286,1962,12,14843,19854,10559,"Mean"
2704735,8062.4286,1999,12,4391,7654,2063,"Mean"
