central_valley,great_basin,north_coast,south_coast
mykiss,clarki,mykiss,mykiss
ayersi,lahontan,ayersi,tridentata
tridentata,osculus,brevirostris,gulosus
gulosus,williamsoni,tridentata,symmetricus
symmetricus,,thaleichthys,occidentalis
occidentalis,,gulosus,exilicauda
hubbsi,,texanus,aculeatus
conocephalus,,symmetricus,grandis
exilicauda,,snyderi,orcutti
traskii,,occidentalis,newberryi
aculeatus,,conocephalus,osculus
grandis,,exilicauda,santaanae
macrolepidotus,,traskii,
transmontanus,,aculeatus,
medirostris,,grandis,
pitensis,,macrolepidotus,
tshawytscha,,transmontanus,
microps,,similis,
osculus,,medirostris,
richardsoni,,pacificus,
klamathensis,,kisutch,
,,coerulea,
,,tshawytscha,
,,newberryi,
,,luxatus,
,,richardsoni,
,,klamathensis,
